Subject	Verb	Objects
I	have	a brother, a sister, a dog, a cat, a bike, a blue backpack, a pencil case, brown eyes
You	have	a brother, a sister, a dog, a bike, a school bag, a ruler, blue eyes
He	has	a brother, a dog, a bike, a football, a school bag, brown eyes
She	has	a sister, a cat, a doll, a pink backpack, a pencil case, blue eyes
It	has	a tail, four legs, big ears, a long nose, small eyes
We	have	a dog, a cat, two bikes, a house, a garden, a teacher
They	have	two dogs, three cats, bikes, a house, a classroom, many friends
Tom	has	a dog, a bike, a brother, a school bag, brown eyes
Anna	has	a cat, a sister, a doll, a pink backpack, blue eyes
Paul	has	a bike, a dog, a football, a pencil case
Maria	has	a cat, a doll, a brother, a school bag
The boy	has	a dog, a red ball, a bike, a school bag
The girl	has	a cat, a doll, a bike, a pink bag
The baby	has	a toy, a teddy bear, small hands, blue eyes
The teacher	has	a book, a computer, a red pen, a class
The student	has	a notebook, a pencil case, a backpack, a book
The dog	has	a tail, four legs, big ears, a collar
The cat	has	a tail, green eyes, soft fur, small ears
The bird	has	wings, a small beak, feathers, a nest
The rabbit	has	long ears, a small tail, soft fur
The horse	has	a long tail, strong legs, a saddle
My brother	has	a bike, a computer game, a dog, brown eyes
My sister	has	a doll, a cat, a pink backpack, blue eyes
My mother	has	a car, a phone, a bag, brown eyes
My father	has	a car, a job, a computer, blue eyes
My uncle	has	a car, a dog, a big house
My aunt	has	a cat, a garden, a bag
My friend	has	a dog, a bike, a football, brown eyes
My neighbour	has	a dog, a garden, a car
The house	has	a garden, a kitchen, two bedrooms, a garage
The school	has	a playground, many classrooms, a library
The classroom	has	a board, desks, a clock, a teacher
The park	has	trees, a playground, a lake
The shop	has	food, drinks, sweets
Tom and Anna	have	a dog, two bikes, a house, a garden
Bill and Bob	have	a dog, two bikes, a football, a computer
Tom and Paul	have	two bikes, a football, a dog
Anna and Maria	have	two cats, dolls, a big room
My parents	have	a house, a car, two children, a garden
My friends	have	two dogs, a football, bikes, a treehouse
Our neighbours	have	a dog, a garden, a car, two children
The boys	have	a football, two bikes, a dog
The girls	have	two cats, dolls, a teacher
The children	have	toys, a ball, a teacher, a classroom
The students	have	books, notebooks, a teacher
The teachers	have	a staff room, books, computers
Tom and his brother	have	a dog, two bikes, a football
Anna and her sister	have	two dolls, a cat, a pink room
The dogs	have	tails, four legs, collars
The cats	have	tails, green eyes, soft fur
The birds	have	wings, feathers, nests
The rabbits	have	long ears, small tails
My cousins	have	a dog, bikes, a garden
The players	have	a ball, a coach
The workers	have	a boss, tools
The farmers	have	animals, a tractor, a barn
The children and the teacher	have	a classroom, books
Tom and his friends	have	bikes, a football, a treehouse
Anna and her friends	have	dolls, cats, a big room
My brother and I	have	a dog, two bikes, a football
My sister and I	have	a cat, dolls, a big room
The animals	have	legs, tails, ears
The teachers and students	have	classrooms, books, desks
The boys and girls	have	balls, toys, friends
Our class	have	a teacher, desks, books
The family	have	a house, a car, a dog
The team	have	a coach, a ball, uniforms
The baby and the dog	have	small eyes, short legs
The cat and the dog	have	tails, four legs
My brother and my cousin	have	bikes, a football
My sister and my friend	have	dolls, a cat